group,totalJun,totalJul,popJun,popJul,percJun,percJul,countDiff,percChange
0-9,83114,91108,6639282,6625326,1.251852233,1.375147427,7994,9.849021374074596
10-19,128132,196067,6925392,6933364,1.850176856,2.827876915,67935,52.84360010392433
20-29,229768,454031,7968523,7967372,2.883445276,5.69862936,224263,97.6326517250678
30-39,283285,573671,8979694,9001495,3.154728881,6.373063586,290386,102.01620571527013
40-49,230275,481915,7968107,7976890,2.889958682,6.041389564,251640,109.04761032150981
50-59,229674,477856,8210790,8216759,2.797221705,5.815626332,248182,107.90723601224164
60-69,200564,364238,6301724,6312974,3.182684611,5.769673691,163674,81.2832371469936
70-79,200111,272281,4957245,4970652,4.036738148,5.477772332,72170,35.69798513470482
80-89,85546,97820,2337474,2341488,3.659762633,4.177685301,12274,14.151810375074675
90+,12937,14226,510616,514439,2.533606467,2.765342441,1289,9.146486521026077
All,1683420,3023282,60798847,60860759,2.768835402,4.9675391,1339862,79.40897087677442
Female,918441,1679973,30363953,30389789,3.024774146,5.528083792,761532,82.76021696728694
Male,764886,1343048,30434894,30470970,2.513187659,4.407631263,578162,75.38010928932383
Unknown,14,69,0,0,0,0,55,NA
